team_name,game_num,date,site,game_type,opp_name,w_l,pts,opp_pts,fg,fga,fg_per,3p,3pa,3p_per,ft,fta,ft_per,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_per,opp_3p,opp_3pa,opp_3p_per,opp_ft,opp_fta,opp_ft_per,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
Virginia Cavaliers,14,1/4/14,Away,R,Florida State,1,62,50,19,58,0.328,6,16,0.375,18,33,0.545,15,37,9,3,3,5,21,16,52,0.308,4,14,0.286,14,22,0.636,11,33,8,2,8,16,28
Virginia Cavaliers,8,12/2/17,Home,R,Lehigh,1,75,54,30,58,0.517,9,25,0.36,6,11,0.545,7,30,21,11,3,6,7,19,47,0.404,10,24,0.417,6,7,0.857,3,24,7,1,0,16,15
Virginia Cavaliers,8,12/3/16,Home,R,West Virginia,0,57,66,22,48,0.458,6,19,0.316,7,13,0.538,7,26,13,4,3,14,17,23,51,0.451,4,15,0.267,16,19,0.842,7,24,13,10,1,8,16
Virginia Cavaliers,27,2/18/14,Away,R,Virginia Tech,1,57,53,20,51,0.392,9,25,0.36,8,15,0.533,10,26,11,7,3,7,13,19,43,0.442,6,17,0.353,9,15,0.6,7,27,10,3,4,13,18
Virginia Cavaliers,9,12/6/11,Home,R,George Mason,1,68,48,26,43,0.605,7,14,0.5,9,17,0.529,5,23,10,10,7,14,17,19,40,0.475,2,8,0.25,8,16,0.5,5,22,6,8,1,20,17
Virginia Cavaliers,26,2/22/15,Home,R,Florida State,1,51,41,18,41,0.439,1,11,0.091,14,27,0.519,8,31,9,11,3,11,9,15,46,0.326,4,19,0.211,7,12,0.583,4,27,9,5,5,14,20
Virginia Cavaliers,11,12/20/10,Home,R,Norfolk State,1,50,49,19,54,0.352,7,22,0.318,5,10,0.5,9,34,8,3,4,11,16,17,56,0.304,2,16,0.125,13,18,0.722,13,41,7,6,6,11,15
Virginia Cavaliers,15,1/4/11,Home,R,Howard,1,84,63,32,48,0.667,16,25,0.64,4,8,0.5,3,14,20,10,0,10,12,24,45,0.533,8,17,0.471,7,12,0.583,8,21,8,5,1,17,11
Virginia Cavaliers,21,1/29/11,Away,R,Wake Forest,0,71,76,28,56,0.5,8,20,0.4,7,14,0.5,9,30,11,3,0,10,19,24,50,0.48,9,19,0.474,19,21,0.905,4,26,14,4,4,9,14
Virginia Cavaliers,31,3/10/11,Neutral,A,Miami (FL),0,62,69,24,60,0.4,6,15,0.4,8,16,0.5,7,35,9,8,4,11,21,25,64,0.391,10,29,0.345,9,20,0.45,9,39,11,4,6,13,19
Virginia Cavaliers,12,12/27/11,Home,R,Maryland-Eastern Shore,1,69,42,30,60,0.5,6,20,0.3,3,6,0.5,8,35,22,5,5,10,11,15,54,0.278,4,18,0.222,8,9,0.889,9,27,4,3,1,12,11
Virginia Cavaliers,27,2/21/12,Away,R,Virginia Tech,1,61,59,25,42,0.595,6,15,0.4,5,10,0.5,4,24,14,8,2,12,19,18,40,0.45,8,16,0.5,15,21,0.714,3,18,8,4,1,11,15
Virginia Cavaliers,28,2/25/12,Home,R,UNC,0,51,54,21,60,0.35,6,23,0.261,3,6,0.5,5,29,7,3,7,4,17,17,51,0.333,2,14,0.143,18,23,0.783,9,44,8,2,4,11,11
Virginia Cavaliers,14,1/6/13,Home,R,UNC,1,61,52,22,49,0.449,8,14,0.571,9,18,0.5,5,30,14,6,6,11,14,19,51,0.373,5,17,0.294,9,17,0.529,5,29,9,4,2,12,18
Virginia Cavaliers,1,11/8/13,Home,R,James Madison,1,61,41,25,60,0.417,4,18,0.222,7,14,0.5,9,40,9,7,1,9,12,15,48,0.313,6,25,0.24,5,6,0.833,2,25,8,7,4,13,15
Virginia Cavaliers,22,2/2/14,Away,R,Pitt,1,48,45,19,47,0.404,4,12,0.333,6,12,0.5,10,32,13,2,6,9,17,15,47,0.319,4,11,0.364,11,19,0.579,9,28,10,4,2,7,13
Virginia Cavaliers,16,1/13/15,Home,R,Clemson,1,65,42,25,50,0.5,10,21,0.476,5,10,0.5,3,23,14,4,5,4,17,15,42,0.357,3,13,0.231,9,13,0.692,7,28,4,2,2,11,11
Virginia Cavaliers,6,11/26/16,Neutral,R,Providence,1,63,52,25,42,0.595,5,10,0.5,8,16,0.5,2,24,15,8,6,7,18,15,40,0.375,8,16,0.5,14,17,0.824,5,18,12,3,2,10,19
Virginia Cavaliers,20,1/23/18,Home,R,Clemson,1,61,36,25,56,0.446,7,19,0.368,4,8,0.5,6,31,9,14,7,11,10,15,47,0.319,3,20,0.15,3,4,0.75,5,25,6,5,6,19,10
Virginia Cavaliers,34,3/16/18,Neutral,N,UMBC,0,54,74,23,56,0.411,4,22,0.182,4,8,0.5,5,21,5,8,1,7,16,26,48,0.542,12,24,0.5,10,14,0.714,3,31,16,2,0,10,13
Virginia Cavaliers,20,1/27/11,Home,R,Maryland,0,42,66,16,48,0.333,4,17,0.235,6,13,0.462,5,26,8,3,3,15,12,27,50,0.54,7,15,0.467,5,8,0.625,2,27,14,8,2,11,14
Virginia Cavaliers,23,2/5/11,Away,R,Miami (FL),0,68,70,24,51,0.471,11,19,0.579,9,22,0.409,1,25,17,8,6,10,18,22,56,0.393,9,23,0.391,17,22,0.773,8,39,8,2,4,13,17
Virginia Cavaliers,14,1/4/17,Away,R,Pitt,0,76,88,33,67,0.493,8,20,0.4,2,5,0.4,6,24,15,2,3,6,21,29,54,0.537,13,21,0.619,17,28,0.607,9,38,16,0,3,14,16
Virginia Cavaliers,22,2/4/17,Away,R,Syracuse,0,62,66,24,50,0.48,12,24,0.5,2,5,0.4,6,21,21,6,4,15,15,23,42,0.548,7,18,0.389,13,20,0.65,2,18,12,11,5,11,9
Virginia Cavaliers,32,3/9/18,Neutral,A,Clemson,1,64,58,28,60,0.467,5,18,0.278,3,8,0.375,9,33,16,11,1,7,17,17,49,0.347,5,25,0.2,19,23,0.826,5,26,8,5,2,13,16
Virginia Cavaliers,4,11/19/13,Home,R,Navy,1,67,42,30,53,0.566,3,15,0.2,4,11,0.364,9,39,16,8,3,11,10,16,48,0.333,7,23,0.304,3,6,0.5,0,16,10,5,1,13,9
